"","Name","Code","Year","Month","Population","LST_Day","NDVI","EVI","Precip","AvgRad","SWOccurrence","pland_forest","area_mn_forest","te_forest"
"755","LLUSCO",80304,2025,60,3091.77464788732,21.1945276264412,0.4359604362188,0.231681016721955,76.5757427197717,0.1414196796416,46.3016222055051,0,0,0
"756","QUIÑOTA",80305,2025,60,4670.09859154923,17.9493962301112,0.363565586077111,0.211980684496427,81.4593487943804,0.168048205744341,55.6729802212538,0,0,0
"757","VELILLE",80306,2025,60,8276.61971830986,18.1958507950511,0.43838712844601,0.235645891390808,90.2577641418479,0.139228943430537,54.3014536620726,0,0,0
"758","BARANOA",80307,2025,60,2060.33802816701,17.3313606525837,0.416468712378002,0.224974076659855,91.2918116431736,0.135077587021472,50.786998274764,0,0,0
"759","ESPINAR",80308,2025,60,4178.0704225361,22.6510071170114,0.456874275426052,0.274586942886076,86.4997543107301,0.537867507914797,27.1833333333333,0,0,0
"760","CONDOROMA",80401,2025,60,22713.3098591616,16.9808673080708,0.345076010008524,0.18430264258497,77.3362636247527,0.318563360047838,44.513674487701,0,0,0
"761","OCORURO",80402,2025,60,3545.5070422518,22.1112033989212,0.411099385045986,0.229953049637042,72.488809284745,0.317166930660086,56.1448273708534,0,0,0
"762","PALLPATA",80403,2025,60,4925.00000000194,19.8780394004466,0.412387109532958,0.221685776836209,78.6579029147697,0.24909918509238,21.5161441757813,0,0,0
"763","PICHIGUA",80404,2025,60,6008,17.0031379882135,0.39188735031521,0.21646920712089,91.6043087808395,0.109393286959283,66.0535926955141,0,0,0
"764","SUYCKUTAMBO",80405,2025,60,8870.39436619541,21.1978715355126,0.414230928095218,0.225497974596904,68.9393600481828,0.265988810683709,36.9659454661203,0,0,0
"765","ALTO PICHIGUA",80406,2025,60,4831.28169014038,20.7762137796901,0.41455199207856,0.217245657694999,73.4617453034892,0.218345516008213,17.124216026728,0,0,0
"766","SANTA ANA",80407,2025,60,4273.88732394305,21.4828420659891,0.421232640894423,0.23160595867946,76.981313200524,0.454842286593267,23.8605600272078,0,0,0
"767","ECHARATE",80408,2025,60,13375.8591549257,17.2015415630425,0.530907837100498,0.307903698542895,127.333049213502,0.102409621282973,29.3291625971965,0,0,0
"768","HUAYOPATA",80501,2025,60,8187,22.2452041450597,0.385730382372671,0.23426084330268,76.3843746512517,0.17019640793295,18.8105859346174,0,0,0
"769","MARANURA",80502,2025,60,5287.33802816909,23.8655502568784,0.399007730476967,0.228236126318184,67.0235789632116,0.122170515033581,26.6659695790985,0,0,0
"770","QUELLOUNO",80503,2025,60,4736,22.1054742506641,0.411085208674932,0.240211012700109,67.7395467517593,0.136251790574928,67.6645058062813,0,0,0
"771","KIMBIRI",80504,2025,60,1807.91549295775,20.646684519556,0.371516158384658,0.217111636313351,76.7629051657019,0.111374113349544,69.3833498096862,0,0,0
"772","SANTA TERESA",80505,2025,60,5059.15492957871,20.446040509688,0.345326350966545,0.196258756485044,90.2141154420721,0.132858749598029,73.1121069253441,0,0,0
"773","PICHARI",80506,2025,60,1548.53521126744,21.9261369190122,0.437133257013139,0.258102878909782,74.0817045007619,0.333129513907586,82.5823500263872,0,0,0
"774","INKAWASI",80507,2025,60,3225.22565816039,23.4953397733667,0.398846078511212,0.239925350825025,70.9571905677326,0.14317079199527,21.0595072308516,0,0,0
"775","VILLA VIRGEN",80508,2025,60,2121.19718309709,22.3368907166813,0.442372287673683,0.263785181174413,74.9796038398396,0.177898593211377,74.2868901191175,0,0,0
"776","VILLA KINTIARINA",80601,2025,60,52294.9014084271,21.6830496203042,0.435168783613005,0.256032526482192,78.2370809616953,0.376462466605623,79.8175741432124,0,0,0
"777","MEGANTONI",80602,2025,60,4077.42253521127,18.5022752901171,0.340460633722763,0.203313521873334,110.666362262706,0.127416332913144,57.2963303285225,0,0,0
"778","PARURO",80603,2025,60,4390,20.4040112630614,0.380429507547958,0.210514120294182,84.1288875376736,0.213356447944609,15.6437530921684,0,0,0
"779","ACCHA",80604,2025,60,9032.78873239429,18.6696387879291,0.34481531854474,0.196967840076431,82.3897108327455,0.160445339545862,79.09656004828,0,0,0
"780","CCAPI",80605,2025,60,6363.28169013828,16.6310679237995,0.284701927731413,0.168817492063562,132.245579014978,0.128413279339241,88.8757661662638,0,0,0
"781","COLCHA",80606,2025,60,3491.49295774589,19.8309302463574,0.356044984933333,0.224232813569703,115.030288884166,0.11091571885208,36.2286871650931,0,0,0
"782","HUANOQUITE",80607,2025,60,2047.71830986148,22.418858971627,0.435138429493142,0.249417266947841,85.4844994513713,0.28108214036847,26.1176470588235,0,0,0
"783","OMACHA",80608,2025,60,4521.74647886963,23.890492083183,0.43231062237386,0.254170964212021,76.4974065178859,0.30475187990769,3.15189873417722,0,0,0
"784","PACCARITAMBO",80701,2025,60,22966.183098591,21.8818997904606,0.301918885330309,0.177220483133951,66.1103333825505,0.145528489382085,52.2730778132122,0,0,0
"785","PILLPINTO",80702,2025,60,3626.11267605612,21.5718952490203,0.416959772689434,0.227591550242362,81.1732730479717,0.14473716128525,23.4448972588049,0,0,0
"786","YAURISQUE",80703,2025,60,8229.84507042458,23.8354799332653,0.435330130439161,0.273738092042779,84.0487759453605,0.15772475112689,34.3271719038817,0,0,0
"787","PAUCARTAMBO",80704,2025,60,6762.1549295781,23.5129146163988,0.439351021897491,0.256460468843837,82.6618398161458,0.162910056029619,17.9489926682213,0,0,0
"788","CAICAY",80705,2025,60,12506.4647887352,23.4759078099119,0.416255244943617,0.248061444833928,78.0137306296485,0.140759913264405,37.3446751933484,0,0,0
"789","CHALLABAMBA",80706,2025,60,6240.2957746466,23.371934483529,0.353962492411514,0.204522970321372,69.7997249927182,0.150242953161662,29.5844211657266,0,0,0
"790","COLQUEPATA",80707,2025,60,4491.98591549277,23.6174972492224,0.396710222064221,0.231005601362322,73.6046066345489,0.260030757931529,10.8782640676719,0,0,0
"791","HUANCARANI",80708,2025,60,7216.64788732789,23.2046188002281,0.391079766596734,0.225693480246908,73.6759789187894,0.465479386241973,39.3495799230019,0,0,0
"792","KOSÑIPATA",8078,2025,60,65521.9718309859,31.0420973443362,0.674013272443919,0.449706703932189,79.391413109549,2.49362666909509,5.6442487195443,0,0,0
