"","Name","Code","Year","Month","Population","LST_Day","NDVI","EVI","Precip","AvgRad","SWOccurrence","pland_forest","area_mn_forest","te_forest","enn_mn_forest"
"5365","Descalvado",3201407,2021,12,31896.7605633784,28.0625952250211,0.714637878097373,0.449514306534141,86.6791260802004,0.755638731752896,8.15710455263133,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5366","Diadema",3201506,2021,12,103575.464788739,29.7043488603053,0.559963537450843,0.348842049376621,95.8968374802075,1.1398038297872,65.4757539952378,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5367","Dirce Reis",3201605,2021,12,26286.6760563382,28.4281101940605,0.678690170897409,0.459505878466149,78.9721127629233,0.679229494153899,40.7646341550327,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5368","Divinolândia",3201704,2021,12,10428.8309859155,25.7974122487533,0.728281276819042,0.442264044713003,87.0257460573986,0.508047532208797,5.79760275217133,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5369","Dobrada",3201803,2021,12,3727.21126760552,25.4464002182692,0.718843624380063,0.450435415358098,96.4710638208774,0.451126998154133,4.94117647058824,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5370","Dois Córregos",3201902,2021,12,28531.4366197192,24.9121793442752,0.733718540794717,0.451461822464515,87.8278118167007,0.435350071367649,20.9300444667041,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5371","Dolcinópolis",3202009,2021,12,5068.97183098592,25.7150783784599,0.723851198506504,0.448395417758177,97.8925846825615,0.414133949798456,5.67213114754098,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5372","Dourado",3202108,2021,12,19413.1126760576,30.7407248880916,0.554439338471858,0.364844986328998,66.4732980898131,0.294888667436007,14.6575862783458,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5373","Dracena",3202207,2021,12,18912.0563380274,30.6808252566226,0.698577657349766,0.47808257777657,88.7233100059269,1.34012741774576,29.7468636948077,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5374","Duartina",3202256,2021,12,10081.4788732392,29.1831854914014,0.615749892478447,0.384899891122554,89.6481404202137,0.305413144369463,12.1932221759721,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5375","Dumont",3202306,2021,12,25256.8028169014,27.2874571878979,0.689515160444049,0.450728537105456,95.9006079017129,0.919938608586193,39.7080829065432,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5376","Echaporã",3202405,2021,12,104456.15492958,28.8602884654251,0.721999056222259,0.485391166567631,107.747783249937,2.52969556967539,66.0135615785537,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5377","Eldorado",3202454,2021,12,21922.7323943631,26.2156298700261,0.666094614785003,0.429484731141055,83.7588401171064,0.993629523480652,10.6730769230769,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5378","Elias Fausto",3202504,2021,12,10532.3943661968,28.2952424384259,0.707658152390418,0.437011647803176,86.4491839881905,0.815769896087013,11.9897434779132,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5379","Elisiário",3202553,2021,12,7521.30985915492,25.0453281135502,0.711374254064996,0.439632956890402,95.8176852982315,0.451138650795623,13.0392030675998,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5380","Embaúba",3202603,2021,12,11827.2816901404,29.1165027087718,0.707514864031583,0.459558775074835,98.5227783834447,1.09348325777205,6.53968253968254,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5381","Embu",3202652,2021,12,11117.394366197,26.3126187387215,0.682264264339029,0.446442125958489,90.8386331344912,0.830841537143337,2.20066266307724,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
